;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
14;41899;448733,0573867012;Rhine;0,8278069540492663;0,056;3189;48;0,11118817440225928;0,07849137660708687;0,7556526497334588;0,3585;0,6823;0,0871;0,3535;0,1387;0,9153;0,6935;0,9954;0,9152;0,9879
15;41897;478239,2477053198;Rhine;1,2524963924291732;0,032;840;14;0,10065128904605476;0,07729880952380953;0,24258571428571427;0,1924;0,3972;0,0522;0,1654;0,1343;0,9412;0,7474;0,9959;0,9585;0,9699
16;46148;499137,6826820462;Rhine;1,9244069119735856;0,022;1014;16;0,10033940165766894;0,08262130177514794;0,23428086785009858;0,2331;0,2405;0,1019;0,2015;0,0781;0,9327;0,9284;0,9882;0,9529;0,9931
17;41893;555161,3104702845;Rhine;0,9807072448483488;0,04;1274;20;0,1214342915185784;0,0807425431711146;0,26841012558869703;0,2405;0,3531;0,0553;0,1967;0,0739;0,9557;0,9045;0,998;0,971;0,9963
18;41865;598357,646958985;Rhine;0,6824027000782661;0,058;1144;16;0,12182416525550122;0,08321066433566435;0,2858662587412588;0,3061;0,5221;0,0808;0,2568;0,0946;0,9257;0,7839;0,9956;0,9485;0,9934
19;41891;636723,4951453801;Rhine;1,2028819657074135;0,036;680;10;0,14463851009001338;0,09084264705882354;0,23403720588235294;0,2383;0,3468;0,0797;0,2014;0,0849;0,9345;0,8613;0,9934;0,9557;0,9918
20;41927;228129,8234030728;Elbe;1,1897383985858765;0,026;878;14;0,08157724631861091;0,0773986332574032;0,23541571753986332;0,1774;0,1797;0,0401;0,1625;0,0847;0,9841;0,9834;0,9991;0,986;0,9962
21;41925;312229,81276551547;Elbe;1,1227997925880937;0,03;1214;19;0,08249210450326543;0,08965897858319605;0,30287759472817133;0,1619;0,7279;0,0556;0,1544;0,0498;0,9836;0,668;0,9977;0,9835;0,9982
22;41855;346434,46845029754;Elbe;0,9523964096686448;0,036;1094;18;0,0853338971408294;0,10047257769652651;0,2806314442413163;0,1465;0,185;0,0494;0,1213;0,0987;0,9837;0,974;0,9982;0,9877;0,9929
23;41882;455295,5836026555;Elbe;1,1396493006502013;0,032;2253;38;0,08285151370347128;0,1090936529072348;0,6958651575676875;0,2288;0,222;0,1302;0,2059;0,0678;0,9653;0,9673;0,9891;0,9677;0,9971
24;41945;548572,3838389295;Elbe;1,1184244968118533;0,034;950;16;0,0869213497497861;0,12756105263157896;0,28700557894736844;0,2121;0,3299;0,076;0,1761;0,0835;0,9678;0,9222;0,9956;0,9749;0,9945
25;41885;567037,826478596;Elbe;0,6801558730311982;0,056;1013;18;0,08615019119900089;0,12769792694965448;0,29904412635735445;0,2464;0,1982;0,0653;0,1812;0,0834;0,962;0,9754;0,9974;0,9754;0,9958
26;41918;613135,4362074754;Elbe;1,1471583293146372;0,034;1145;20;0,0882035664729952;0,13688034934497817;0,3476264628820961;0,2355;0,2463;0,0586;0,2048;0,0789;0,9704;0,9676;0,9983;0,9742;0,9969
27;41887;712074,4162252684;Elbe;1,2937673918431463;0,032;605;11;0,08804790213016206;0,15298512396694214;0,2358728925619835;0,2229;0,3139;0,0588;0,1249;0,0985;0,9571;0,9148;0,9977;0,9854;0,9931
28;42214;173586,2169616771;Oder;0,7830643561401733;0,034;382;7;0,09782745590629462;0,0818848167539267;0,0867068062827225;0,1163;0,2288;0,0307;0,0818;0,0466;0,9837;0,9369;0,9988;0,991;0,9971
29;41866;234513,3393847275;Oder;1,1847776365723517;0,032;753;11;0,08586147729006147;0,11632802124833998;0,16743784860557767;0,1332;0,1669;0,0335;0,0926;0,0618;0,9758;0,962;0,9985;0,9877;0,9946
30;42224;286057,9769483367;Oder;1,0025718075793895;0,038;1427;21;0,11937065274044571;0,12341205325858447;0,4098682550805887;0,1894;0,2179;0,1114;0,1857;0,1232;0,9612;0,9486;0,9872;0,9582;0,9838
31;42305;326460,34372443985;Oder;0,8638089623476086;0,044;1065;16;0,08532596852115679;0,1099755868544601;0,30631840375586855;0,1494;0,2159;0,0717;0,1323;0,0627;0,9753;0,9484;0,9943;0,9788;0,9955
32;23410;483182,6678917009;Oder;1,5984413781024709;0,024;1359;20;0,12010274909422355;0,12314201618837382;0,8419735099337748;0,3484;0,4003;0,2392;0,3385;0,1933;0,885;0,8488;0,9563;0,876;0,9641
