;Unnamed: 0.1;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;;38445;934917,9300921223;Missouri;1,634537280524345;0,026;952;14;0,22206229289831603;0,09685084033613445;0,6786844537815127;0,4234;0,295;0,1781;0,3652;0,1176;0,8832;0,9461;0,9839;0,918;0,9923
1;;22886;36944,541852226415;Missouri;1,195241394639105;0,032;991;14;0,14215433341858597;0,10343693239152371;0,3451643794147326;0,3736;0,6566;0,0861;0,2516;0,1532;0,9327;0,7973;0,9967;0,9664;0,9892
2;;19674;85733,6280691434;Missouri;0,9002008747642248;0,042;1776;25;0,13004320784589665;0,0992257882882883;0,655087894144144;0,4528;0,6447;0,1009;0,4076;0,1136;0,9064;0,8178;0,996;0,9161;0,9949
3;;46345;99836,17324049988;Missouri;1,5774196524055883;0,024;1840;26;0,12803015327386116;0,09975978260869565;0,6615897282608696;0,4156;0,7587;0,1158;0,3689;0,1039;0,9265;0,7551;0,9953;0,9383;0,9962
4;;46329;440051,65229952266;Missouri;1,437146722567114;0,028;1189;18;0,12953441622489528;0,08992430613961314;0,37430235492010094;0,293;0,418;0,0573;0,2301;0,122;0,9235;0,8443;0,9965;0,9487;0,9829
5;;46337;491984,19095612864;Missouri;0,5919604132308012;0,068;2289;34;0,10818104060159571;0,09658977719528179;0,8100657929226737;0,3907;0,5534;0,1075;0,3905;0,1121;0,8764;0,752;0,9872;0,8682;0,9859
6;;46336;549727,2737660359;Missouri;0,9363727283137425;0,044;2363;35;0,10938336858994502;0,10164155734236141;0,859758315700381;0,3616;0,3913;0,1183;0,3504;0,0864;0,9125;0,8976;0,991;0,9175;0,9953
7;;17455;574122,8593943592;Missouri;1,2169536799431617;0,034;2330;35;0,09399150185966466;0,09864463519313305;0,8500485407725322;0,293;0,4457;0,1394;0,3008;0,1017;0,9383;0,8617;0,9861;0,9371;0,9934
8;;37033;597609,7943138188;Missouri;0,6391253969540132;0,066;2466;37;0,09373086981339755;0,09682116788321168;0,8968978102189781;0,313;0,4206;0,1043;0,3406;0,1063;0,9331;0,8841;0,9939;0,9144;0,9937
9;;46364;676335,8239674255;Missouri;1,542962067998382;0,028;1183;17;0,08579596030308152;0,09941504649196957;0,3982811496196112;0,2625;0,3958;0,0759;0,2283;0,1073;0,9531;0,8934;0,9968;0,966;0,9939
10;;38445;934917,9300921223;Missouri;1,634537280524345;0,026;952;14;0,22206229289831603;0,09685084033613445;0,6786844537815127;0,4234;0,295;0,1781;0,3652;0,1176;0,8832;0,9461;0,9839;0,918;0,9923
11;;37301;1119818,2373035785;Missouri;1,9947887283735082;0,022;611;11;0,1918089078785176;0,08675613747954172;0,7281765957446807;0,3538;0,5092;0,2149;0,3319;0,1178;0,8788;0,749;0,9665;0,8996;0,9881
