;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;rmse_sv;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd;nse_sv
36;41927;228129,8234030728;Elbe;1,1675673150942487;0,026;1214;15;0,07708091054806217;0,08072899505766064;0,25197578253706754;0,1715;0,1653;0,039;0,1596;0,083;0,1674;0,9825;0,9835;0,999;0,9834;0,9957;0,9833
37;41925;312229,81276551547;Elbe;0,9154060165176637;0,036;1566;19;0,07803425902008487;0,09093486590038316;0,28412094508301405;0,1532;0,6594;0,0611;0,1427;0,0504;0,1518;0,9826;0,6786;0,9965;0,9826;0,9976;0,983
38;41855;346434,46845029754;Elbe;0,929687899199061;0,036;1485;19;0,08161621294540056;0,10123501683501683;0,2803124579124579;0,1383;0,1725;0,0435;0,1173;0,0936;0,1471;0,9829;0,9734;0,9983;0,9857;0,9921;0,9807
39;41882;455295,5836026555;Elbe;1,2701845639065668;0,028;2966;39;0,07809023290427197;0,11079265003371544;0,6803926163182737;0,2298;0,2077;0,1033;0,202;0,0651;0,2125;0,9585;0,9661;0,9918;0,9617;0,9968;0,9645
40;41945;548572,3838389295;Elbe;1,0875578624698017;0,034;1270;17;0,08023135305076148;0,12917874015748032;0,28450401574803147;0,2063;0,2998;0,0677;0,1646;0,0796;0,1911;0,9639;0,9238;0,9956;0,9724;0,9938;0,969
41;41885;567037,826478596;Elbe;0,7713260955200222;0,048;1365;19;0,0800107548922154;0,12869230769230772;0,3022986813186813;0,2394;0,1828;0,0539;0,173;0,0824;0,2224;0,9574;0,9751;0,9979;0,9724;0,995;0,9632
42;41918;613135,4362074754;Elbe;1,1113002460435062;0,034;1456;20;0,08324748292163098;0,13938118131868132;0,33131119505494505;0,2238;0,2276;0,061;0,1925;0,0734;0,2003;0,9688;0,9678;0,9979;0,9726;0,9969;0,975
43;41887;712074,4162252684;Elbe;1,2494811256534064;0,032;758;11;0,08551563195616195;0,15534036939313986;0,22515408970976253;0,2152;0,2909;0,0695;0,1319;0,1003;0,2071;0,9532;0,9146;0,9963;0,9802;0,9919;0,9567
44;42214;173586,2169616771;Oder;0,7728130009643385;0,034;496;7;0,08859632296463443;0,08223790322580646;0,08126895161290322;0,1089;0,2111;0,0267;0,0799;0,0611;0,1216;0,9825;0,9343;0,9988;0,9891;0,9936;0,9782
45;41866;234513,3393847275;Oder;1,15160406033445;0,032;994;11;0,0848610053298643;0,11944869215291751;0,16473289738430583;0,1429;0,1552;0,0378;0,1086;0,0698;0,1386;0,9663;0,9603;0,9975;0,9788;0,9912;0,9684
46;42224;286057,9769483367;Oder;0,9739519966521227;0,038;1864;21;0,11564914964939503;0,12689753218884123;0,4130666845493562;0,1815;0,2003;0,1059;0,1757;0,1141;0,1716;0,9576;0,9484;0,9861;0,9544;0,9832;0,9621
47;42305;326460,34372443985;Oder;1,2310485348019908;0,03;1378;16;0,08477532797762112;0,1135957910014514;0,31163592162554427;0,1404;0,1995;0,0766;0,1355;0,0636;0,138;0,9744;0,9483;0,9924;0,9734;0,9946;0,9753
48;23410;483182,6678917009;Oder;1,6940654488500737;0,022;1859;21;0,11546754564412742;0,12657557826788596;0,8658680473372782;0,3807;0,3698;0,2403;0,3678;0,1954;0,3301;0,8394;0,849;0,9446;0,8306;0,9538;0,8793
