;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;rmse_sv;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd;nse_sv;g_chain
17;45907;344969,4251936232;Missouri;0,9313526880368012;0,044;3302;38;0,1649688491772384;0,096594185;0,8648985160508783;0,4778;0,5836;0,1099;0,4663;0,1107;0,4862;0,8638;0,7968;0,9922;0,8555;0,9919;0,859;340810,82550770364
18;46329;440051,65229952266;Missouri;1,1571448346067978;0,036;1358;16;0,14675603568133083;0,088186303;0,32349167893961706;0,2881;0,4133;0,0628;0,1946;0,1142;0,2825;0,9252;0,8462;0,9954;0,9625;0,9848;0,9281;442445,73506536445
19;36933;445847,62062517623;Missouri;1,156761539993961;0,036;1304;16;0,1409005785707817;0,087135736;0,30755621165644176;0,2653;0,4282;0,0769;0,1719;0,1311;0,2601;0,9348;0,8302;0,994;0,97;0,9835;0,9374;442445,73506536445
20;46337;491984,19095612864;Missouri;1,2231650250193196;0,034;2641;31;0,13630682461701327;0,098222643;0,6892554335478985;0,3262;0,5439;0,0927;0,3012;0,1082;0,3217;0,9096;0,7486;0,9897;0,9195;0,9864;0,9121;495638,9078122432
21;46336;549727,2737660359;Missouri;0,9659476806567043;0,044;2924;34;0,1275019078652383;0,10325410396716828;0,79191751;0,3901;0,3843;0,1187;0,383;0,0891;0,3712;0,8918;0,895;0,9894;0,8902;0,9947;0,9021;552706,9606654197
22;17455;574122,8593943592;Missouri;1,2556468972923596;0,034;2919;34;0,12233076385596744;0,10205686879068174;0,7970341555327167;0,2992;0,4327;0,1282;0,3;0,0996;0,3018;0,9317;0,8601;0,9854;0,9306;0,9932;0,9305;578830,5667843722
23;37033;597609,7943138188;Missouri;0,543460955;0,08;1505;18;0,1083032691600691;0,10656279069767442;0,43018272425249166;0,3149;0,4065;0,094;0,3427;0,1037;0,2985;0,9284;0,8837;0,9937;0,9088;0,9936;0,9357;600753,8874206988
24;46364;676335,8239674255;Missouri;1,7068531604213701;0,026;1497;17;0,1076431586388308;0,10570474281897128;0,4111200400801604;0,2382;0,3838;0,0872;0,1827;0,1075;0,2494;0,9581;0,8913;0,9946;0,9769;0,9931;0,9541;679215,9151
25;46389;808489,8102460387;Missouri;1,4112990974040116;0,032;1223;16;0,11608544920747452;0,091495503;0,48061251022076856;0,3283;0,4292;0,0828;0,2976;0,0704;0,3369;0,9119;0,8496;0,9951;0,9295;0,997;0,9073;813344,0354875049
26;46372;858473,1267165269;Missouri;1,7410643468061155;0,026;636;10;0,11849573139410041;0,073694969;0,3378102201257862;0,2302;0,2558;0,0744;0,1646;0,0738;0,2171;0,9511;0,9397;0,9947;0,9785;0,9953;0,9565;856014,5448399537
27;38445;934917,9300921223;Missouri;1,627313812091169;0,026;1189;14;0,17686097313847618;0,096857023;0,6548806560134565;0,3744;0,289;0,167;0,3878;0,1573;0,3531;0,9067;0,9471;0,9825;0,9046;0,9861;0,917;933515,2398969078
28;46379;1060180,3068595242;Missouri;0,5409529685531855;0,08;1533;19;0,19963211488202298;0,097882583;0,7355530984996738;0,4412;0,5897;0,0996;0,4631;0,0749;0,4355;0,8255;0,6882;0,9898;0,8048;0,995;0,83;1056001,6197471092
29;37301;1119818,2373035785;Missouri;1,7652482802935385;0,024;1341;17;0,20894961445423194;0,094147651;0,7405973900074572;0,3641;0,4927;0,165;0,3589;0,109;0,3762;0,8745;0,7702;0,9769;0,8707;0,9901;0,866;1120512,1219411083
30;23874;28550,154201161902;Po;1,3834315758348645;0,022;609;7;0,27254263116238187;0,090722496;0,19707717569786534;0,4512;0,5792;0,0839;0,3268;0,2387;0,418;0,7697;0,6204;0,9927;0,8725;0,9377;0,8024;25400,81034
31;46217;78287,03637738184;Po;1,5264221564887739;0,024;1817;21;0,2650975088688668;0,12367804072647222;0,6405036323610347;0,4041;0,9317;0,1086;0,3404;0,1718;0,4321;0,9513;0,7412;0,997;0,9635;0,992;0,9443;81275,21006657004
32;46221;114018,01273358069;Po;0,6853675400155521;0,056;1945;23;0,2649648670009753;0,1288221079691517;0,6426320822622109;0,5406;0,9515;0,1196;0,4937;0,2993;0,4975;0,9175;0,7443;0,9962;0,9228;0,9744;0,9301;115084,1581392229
33;23875;135000,99283851523;Po;1,391374004071686;0,028;1945;23;0,26464573727752444;0,128426735;0,6324927506426734;0,654;0,9722;0,1332;0,6268;0,5026;0,6537;0,8805;0,735;0,9954;0,8835;0,924;0,8806;134309,6891643376
34;46225;171852,2804483872;Po;1,2578712691859142;0,032;1948;23;0,2648492410607049;0,12857905544147843;0,7399435318275154;0,5471;1,0551;0,2213;0,4767;0,2391;0,4958;0,9284;0,7336;0,9876;0,9415;0,9838;0,9412;172828,74668770397
35;23876;200061,70532737562;Po;1,2820650192594747;0,032;1947;23;0,26486071166737385;0,12857318952234206;0,8465910118130456;0,5618;1,117;0,1943;0,4977;0,2653;0,5033;0,9248;0,6986;0,9915;0,9324;0,9841;0,9397;204905,61140669507
36;46227;220907,08354902847;Po;1,397366729093729;0,03;1947;23;0,26498482478472085;0,1285824345146379;0,984095686;0,5858;0,9727;0,144;0,5004;0,2734;0,5447;0,917;0,7712;0,9953;0,9328;0,9809;0,9283;221240,6627062469
37;46232;270468,2411846031;Po;1,0221748448618944;0,042;1421;17;0,2596535438855415;0,14340957072484165;0,9827745249824066;0,5554;1,0028;0,1677;0,3979;0,2524;0,552;0,9149;0,7225;0,9931;0,9529;0,9829;0,9159;271938,1697385676
38;14039;308347,71673388884;Po;1,4586164142491438;0,026;858;9;0,2476753070888062;0,12992890442890445;0,5981250582750582;0,582;0,8009;0,215;0,4684;0,247;0,5823;0,8053;0,6233;0,9738;0,8497;0,9644;0,8051;310358,9652089248
39;41863;147714,4396594754;Rhine;0,8840139835152908;0,046;1940;21;0,093236177;0,06845;0,3512428350515464;0,3024;0,6539;0,0414;0,2229;0,0699;0,297;0,963;0,8269;0,9992;0,9763;0,9976;0,9643;147723,81720878056
40;41862;162660,5530708279;Rhine;1,4796576353961404;0,028;2242;24;0,095962901;0,072143622;0,3526601248884924;0,3413;0,791;0,0479;0,2207;0,1238;0,3387;0,9559;0,7633;0,999;0,9797;0,9926;0,9566;162298,55736003502
41;41905;185542,2744992548;Rhine;1,612073065574549;0,026;2312;25;0,097267237;0,072;0,34247928200692046;0,3247;0,4444;0,0681;0,1966;0,0873;0,2865;0,9611;0,9272;0,9982;0,9838;0,997;0,9697;185703,9044717705
42;41861;218037,67530584385;Rhine;1,3389766307770905;0,032;2381;26;0,095736742;0,071895842;0,29653624527509453;0,3134;0,4903;0,048;0,1506;0,0856;0,2808;0,9587;0,8989;0,9989;0,9894;0,9965;0,9668;218918,52261433488
43;41931;255202,3656464955;Rhine;1,363238480758858;0,032;2529;28;0,095883435;0,074311586;0,2738836694345591;0,2833;0,4235;0,0303;0,1781;0,0845;0,2604;0,9629;0,9172;0,9996;0,9838;0,9965;0,9687;255417,53201449368
44;42213;310050,6355811434;Rhine;1,2902713373366639;0,034;2689;30;0,099991925;0,075976571;0,31925541093343246;0,3288;0,7143;0,0381;0,2086;0,0871;0,2682;0,9504;0,7657;0,9993;0,9783;0,9963;0,967;311503,9527055625
45;41904;344723,1882694637;Rhine;1,3006662293966311;0,034;2493;28;0,10206416725406495;0,076835138;0,34465539510629767;0,2652;0,5852;0,0409;0,1727;0,1016;0,2607;0,9598;0,8043;0,999;0,9815;0,9941;0,9612;344678,73366212146
46;41903;361011,36655822257;Rhine;1,454954457451862;0,03;2368;27;0,10571443347416541;0,07972973;0,35860958614864863;0,2677;0,4872;0,0572;0,195;0,0979;0,2695;0,9582;0,8616;0,998;0,9766;0,9942;0,9577;361247,72168024466
47;38581;409240,0271591982;Rhine;1,229831007;0,036;4046;47;0,093961984;0,077523727;0,6957452792881859;0,3346;0,604;0,0987;0,3196;0,1431;0,3153;0,9174;0,7405;0,9929;0,9185;0,984;0,9267;408001,1170829464
48;41864;419571,8097772568;Rhine;1,6941463877483434;0,026;4115;48;0,096166526;0,078246416;0,735092588;0,2975;0,5176;0,1095;0,289;0,0691;0,2911;0,9351;0,8037;0,9908;0,9362;0,9962;0,9379;419503,91202840663
49;41900;439615,0889590909;Rhine;1,5678141289776883;0,028;1743;22;0,10897555377199007;0,087387837;0,3985099827882961;0,3304;0,558;0,0761;0,2984;0,2107;0,3237;0,924;0,7889;0,9957;0,9435;0,967;0,927;442866,8343629428
50;41899;448733,0573867012;Rhine;0,8488431571666304;0,052;1858;23;0,096586793;0,085453175;0,41497987082884824;0,3194;0,7181;0,0842;0,2917;0,1401;0,3015;0,9326;0,6591;0,9955;0,9388;0,9869;0,9399;453009,63905764394
51;46146;472839,5827820183;Rhine;1,289699034168501;0,028;789;11;0,10369094544329538;0,082532319;0,18289670468948035;0,1863;0,5211;0,0591;0,1574;0,0582;0,1904;0,9524;0,6275;0,9946;0,9669;0,9939;0,9503;470390,98735035287
52;41897;478239,2477053198;Rhine;1,2676979819272467;0,03;1084;14;0,096271921;0,078095941;0,22735802583025833;0,1948;0,4198;0,0417;0,1151;0,1336;0,2034;0,9347;0,7138;0,9973;0,9782;0,9693;0,9289;480759,85319059686
53;46147;484130,07699642365;Rhine;1,1005613490517125;0,032;1084;14;0,096271921;0,078095941;0,21281743542435425;0,1543;0,4006;0,0422;0,1213;0,0553;0,1587;0,96;0,7305;0,9971;0,9759;0,9947;0,9577;480759,85319059686
54;46148;499137,6826820462;Rhine;1,678893324510655;0,024;1384;17;0,094132079;0,083599711;0,23930578034682082;0,2003;0,2525;0,0863;0,1722;0,0875;0,2101;0,95;0,9204;0,9917;0,9642;0,9915;0,9449;500844,87937699945
55;41895;518728,8377065484;Rhine;1,488196137378519;0,026;1515;19;0,092502121;0,082412541;0,24356765676567657;0,201;0,2923;0,0512;0,1571;0,1015;0,2046;0,9634;0,9227;0,9979;0,9782;0,9917;0,9621;518515,78327755176
56;41893;555161,3104702845;Rhine;0,9319355683828875;0,04;1646;20;0,089274542;0,080526731;0,26586719319562574;0,2408;0,3692;0,0559;0,1734;0,0703;0,2344;0,9554;0,8952;0,9979;0,9764;0,9967;0,9578;555662,4188815993
57;41892;574142,9765573984;Rhine;1,3162074317546275;0,028;1616;19;0,085886616;0,079488861;0,27274424504950495;0,2608;0,3941;0,081;0,1882;0,0994;0,2635;0,9522;0,891;0,996;0,9754;0,9939;0,9513;574033,8236594733
58;41865;598357,647;Rhine;0,6711757194952828;0,056;1522;17;0,085089144;0,082093955;0,2902741130091984;0,29;0,5453;0,069;0,2476;0,0775;0,2737;0,9347;0,7689;0,9968;0,9521;0,9957;0,9418;598387,7825877802
59;41891;636723,4951453801;Rhine;1,2854924543233384;0,032;984;11;0,091585672;0,087819106;0,24951839430894307;0,2444;0,3747;0,0626;0,1704;0,0978;0,2346;0,9372;0,8524;0,9961;0,9703;0,9899;0,9421;637087,2759203332
60;41927;228129,8234030728;Elbe;1,1782671043027726;0,026;1234;15;0,080666644;0,080546191;0,25138233387358183;0,1816;0,1681;0,0389;0,1571;0,1045;0,1858;0,9799;0,9825;0,999;0,9833;0,9931;0,979;228472,2200933882
61;41926;281042,7683610111;Elbe;1,1451526552865625;0,028;1671;20;0,076482812;0,089645123;0,303505685;0,1746;0,1719;0,0518;0,1552;0,073;0,1742;0,98;0,9806;0,9981;0,9824;0,9963;0,9801;280962,95520703314
62;41925;312229,81276551547;Elbe;1,1031217919746843;0,03;1589;19;0,075591377;0,090477659;0,2845846444304594;0,1549;0,6597;0,0591;0,1487;0,0501;0,1578;0,9824;0,6803;0,9968;0,9818;0,9977;0,9817;312293,0372949447
63;41855;346434,46845029754;Elbe;0,933897672;0,036;1511;19;0,074198594;0,10084645929847784;0,2802921244209133;0,1386;0,1742;0,0425;0,1181;0,0935;0,1473;0,9831;0,9732;0,9984;0,9857;0,9922;0,9809;351186,93863447715
64;41857;379521,5979967913;Elbe;1,0686989652985368;0,032;1503;19;0,073143204;0,10163872255489022;0,2872300731869594;0,162;0,1637;0,0467;0,1385;0,1028;0,1638;0,9804;0,98;0,9985;0,9837;0,9926;0,9799;379445,29895573255
65;41881;417907,9580506426;Elbe;1,5887945734927769;0,022;1484;19;0,070720127;0,10587196765498652;0,3167056603773585;0,1533;0,2411;0,063;0,1367;0,058;0,1537;0,9834;0,9589;0,9972;0,9845;0,9977;0,9833;417722,1279880505
66;41882;455295,5836026555;Elbe;1,1147502395305513;0,032;3018;39;0,07784535;0,11029655400927767;0,681034394;0,215;0,2065;0,1201;0,1901;0,0661;0,201;0,9635;0,9664;0,9889;0,9666;0,9967;0,9681;455681,77824388543
67;41883;493744,503;Elbe;0,7461761771124107;0,048;2908;38;0,080481647;0,12018122420907844;0,6819677441540578;0,2449;0,1883;0,0975;0,2258;0,0587;0,2162;0,9541;0,9729;0,9933;0,9583;0,9976;0,9643;493219,0623483327
68;41945;548572,3838389295;Elbe;1,0902695246348781;0,034;1285;17;0,087033415;0,12866770428015567;0,28375836575875485;0,2124;0,3063;0,0677;0,1668;0,0802;0,1968;0,9626;0,9223;0,9956;0,9722;0,9939;0,9679;553197,5616
69;41885;567037,8265;Elbe;0,8839702307757952;0,042;1386;19;0,086127459;0,1281010101010101;0,30260072150072154;0,237;0,1852;0,0552;0,1686;0,0843;0,2212;0,9584;0,9746;0,9978;0,9741;0,9948;0,9637;567200,4159899642
70;41918;613135,4362074754;Elbe;1,1163405420823103;0,034;1481;20;0,089951536;0,13826468602295747;0,3310440918298447;0,2263;0,2329;0,061;0,1924;0,0762;0,2017;0,9685;0,9667;0,9979;0,973;0,9967;0,975;613197,0740809687
71;41886;659951,2528664558;Elbe;1,5263717147176206;0,026;1139;15;0,088949451;0,15073748902546094;0,28861589113257247;0,1682;0,3489;0,0738;0,1292;0,0718;0,1717;0,9691;0,867;0,9943;0,9787;0,9944;0,9678;659781,3297987826
72;41887;712074,4162252684;Elbe;1,2440901036289465;0,032;960;13;0,093403759;0,16958645833333333;0,25873145833333333;0,2067;0,2906;0,0737;0,1283;0,0951;0,207;0,9584;0,9179;0,9958;0,9816;0,9929;0,9583;712427,9610665764
73;41888;765334,8202;Elbe;1,338226074148556;0,03;864;12;0,093205266;0,17916087962962965;0,2478252314814815;0,2314;0,3129;0,0952;0,1559;0,1245;0,2568;0,9568;0,9211;0,993;0,9778;0,9883;0,9468;765689,0526
74;42217;146748,74822630503;Oder;0,727526681;0,034;536;7;0,097452314;0,084272388;0,10704794776119404;0,1132;0,2626;0,0414;0,087;0,0474;0,1308;0,9855;0,9218;0,9978;0,9894;0,997;0,9806;146572,6716058331
75;42214;173586,2169616771;Oder;0,7761766250612815;0,034;536;7;0,097452314;0,084272388;0,079483022;0,1092;0,2105;0,0276;0,0811;0,0612;0,1214;0,9824;0,9345;0,9987;0,9889;0,9936;0,9782;174360,2155239456
76;41866;234513,3393847275;Oder;1,1419175581765244;0,032;1150;11;0,1474693158522551;0,12334521739130436;0,17484347826086954;0,1279;0,1554;0,0435;0,0891;0,0693;0,1295;0,9734;0,9608;0,9968;0,9856;0,9915;0,9728;235851,34721333778
77;42223;240551,2587565235;Oder;1,0712101975642363;0,034;1328;13;0,15151864517043453;0,1198019578313253;0,20594661144578313;0,1554;0,1794;0,0453;0,1192;0,0775;0,1426;0,9686;0,9582;0,9973;0,9804;0,9917;0,9736;235851,34721333778
78;41917;278355,78161296726;Oder;1,0835533433186697;0,034;1539;15;0,1594474569618696;0,11837491877842757;0,24255815464587396;0,1327;0,1776;0,0482;0,1244;0,0658;0,1344;0,9748;0,9549;0,9967;0,9765;0,9938;0,9742;275507,96894945117
79;42224;286057,9769483367;Oder;1,2216757818095905;0,03;2098;20;0,1684068868855826;0,1236439466158246;0,3866880362249762;0,1443;0,2001;0,1193;0,1389;0,1141;0,1451;0,9732;0,9484;0,982;0,973;0,9832;0,9729;290937,8202539168
80;42305;326460,34372443985;Oder;1,2204232369020132;0,03;1662;16;0,16211216844321744;0,11622262334536705;0,3129879061371841;0,1336;0,2013;0,0763;0,131;0,0639;0,1378;0,9771;0,948;0,9927;0,9761;0,9946;0,9756;329158,18885370286
81;23410;483182,6678917009;Oder;1,6890180999401176;0,022;2161;20;0,18676517200931697;0,13098565478944935;0,8517280888477557;0,3643;0,2889;0,2553;0,3534;0,1753;0,3235;0,8642;0,9149;0,931;0,8589;0,9665;0,8929;487941,74763362535
