;id;x;y;all_vs_meas;swot_meas;river;rmse
193;18753;14,7464;52,0802;23;0;Oder;0,2571
194;41917;14,7516;52,0721;76;76;Oder;0,0665
195;42224;14,8376;52,0771;82;82;Oder;0,1348
196;23404;15,0362;52,0673;90;66;Oder;0,1118
197;23405;15,2132;52,0769;24;0;Oder;0,1103
198;42305;15,3131;52,0557;64;64;Oder;0,0587
199;19763;15,493;52,0442;83;60;Oder;0,0992
200;23406;15,7319;51,9733;81;58;Oder;0,0792
201;38366;15,771;51,8897;86;63;Oder;0,1208
202;38367;15,7825;51,8701;24;0;Oder;0,2601
203;23407;15,8194;51,7483;78;54;Oder;0,118
204;23408;15,8493;51,7262;88;65;Oder;0,0863
205;38368;15,9347;51,7017;25;0;Oder;0,0909
206;18754;16,2547;51,6802;82;61;Oder;0,1055
207;23409;16,37;51,6107;99;74;Oder;0,1971
208;23410;16,4454;51,4485;102;79;Oder;0,1422
209;46324;-89,3776;37,0892;59;59;Mississippi;0,479
210;15776;-89,4797;37,2528;89;62;Mississippi;0,2354
211;46323;-89,4405;37,3439;84;84;Mississippi;0,2738
212;46322;-89,493;37,4945;76;76;Mississippi;0,3666
213;46321;-89,5162;37,6494;111;111;Mississippi;0,3289
214;17170;-89,5824;37,7112;26;0;Mississippi;0,457
215;15777;-89,6332;37,7358;121;91;Mississippi;0,312
216;36589;-89,6778;37,8051;95;95;Mississippi;0,2683
217;46320;-89,7375;37,8456;98;98;Mississippi;0,2681
218;46319;-89,8661;37,9147;70;70;Mississippi;0,2576
219;38839;-89,9604;37,9655;100;70;Mississippi;0,2819
220;14253;-90,2128;38,0904;96;67;Mississippi;0,3955
221;36604;-90,297;38,1741;67;67;Mississippi;0,398
222;16793;-90,3554;38,2185;94;68;Mississippi;0,3732
223;46318;-90,3665;38,3421;69;69;Mississippi;0,3718
224;14254;-90,3148;38,4132;95;69;Mississippi;0,3861
225;22864;-90,2884;38,4386;69;69;Mississippi;0,2682
226;16794;-90,2391;38,5562;76;47;Mississippi;0,319
227;46348;-90,2008;38,8239;67;67;Missouri;0,3804
228;46347;-90,3424;38,8532;77;77;Missouri;0,2273
229;22886;-90,4473;38,8229;116;85;Missouri;0,2203
230;15096;-90,6649;38,6873;114;85;Missouri;0,1771
231;46346;-90,7427;38,6363;108;108;Missouri;0,174
232;19674;-90,8342;38,5716;128;98;Missouri;0,1688
233;46345;-90,9831;38,5541;83;83;Missouri;0,1566
234;46344;-91,073;38,6096;64;64;Missouri;0,1638
235;46343;-91,1597;38,6041;56;56;Missouri;0,189
236;46339;-91,1896;38,6101;84;56;Missouri;0,328
237;22888;-91,3416;38,6984;93;65;Missouri;0,2125
238;46334;-91,4694;38,7037;56;56;Missouri;0,2818
239;14790;-91,6009;38,6877;108;82;Missouri;0,2262
240;36834;-91,7625;38,6843;80;0;Missouri;0,4731
241;17590;-91,8048;38,6827;113;83;Missouri;0,2807
242;46342;-91,9013;38,6305;111;111;Missouri;0,4463
243;46341;-92,0054;38,5732;107;107;Missouri;0,3073
244;22889;-92,1121;38,5617;110;81;Missouri;0,196
245;22890;-92,2556;38,6453;110;81;Missouri;0,2021
246;46340;-92,3446;38,7054;67;67;Missouri;0,1943
247;46332;-92,3964;38,7777;65;65;Missouri;0,2132
248;36891;-92,3989;38,8188;63;0;Missouri;0,1841
249;14470;-92,4757;38,8724;94;67;Missouri;0,1626
250;46331;-92,542;38,9562;64;64;Missouri;0,1728
251;46330;-92,6464;38,9756;68;68;Missouri;0,1863
252;17213;-92,8353;38,9795;106;78;Missouri;0,1787
253;15649;-92,8994;39,01;111;83;Missouri;0,2135
254;45912;-92,9377;39,1012;89;89;Missouri;0,1992
255;17214;-92,8903;39,1796;113;85;Missouri;0,2001
256;45907;-92,8822;39,2262;84;84;Missouri;0,1894
257;45908;-92,9281;39,2645;115;85;Missouri;0,214
258;36905;-93,0175;39,3124;83;83;Missouri;0,1841
259;45909;-93,1583;39,3959;65;65;Missouri;0,1786
260;45910;-93,2008;39,3573;66;66;Missouri;0,2448
261;14151;-93,2665;39,3192;97;67;Missouri;0,2355
