;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr
50;45497;736333.3047541411;0.8333333333333334;389;4;0.182591635853422;0.07067045454545456;0.16486491963513342;0.06650385604113111;0.396;0.369;0.385;0.403;0.385;0.377;0.388;0.403;-0.08;0.061;-0.023;-0.116;-0.018;0.019;-0.037;-0.116
51;45499;769722.4028869971;0.8333333333333334;234;2;0.20871887919220544;0.07868846153846154;0.20634495985005252;0.07957264957264959;0.687;0.716;0.682;0.675;0.675;0.713;0.675;0.675;0.072;-0.008;0.085;0.103;0.103;0.001;0.103;0.103
52;13594;375605.8688414262;0.8333333333333334;1031;14;0.15900542295352482;0.10599649614576034;0.12835448643545708;0.11533462657613969;0.496;0.618;0.583;0.768;0.517;0.876;0.712;0.768;0.818;0.716;0.747;0.561;0.811;0.457;0.641;0.561
53;13592;265371.7492164789;0.8333333333333334;638;10;0.12290878029389193;0.09022696929238987;0.1118667350995059;0.08098746081504703;0.662;0.7;0.639;0.955;0.531;0.716;0.457;0.955;0.783;0.757;0.798;0.548;0.873;0.768;0.905;0.548
54;13595;478158.6745010143;0.8333333333333334;1455;14;0.448;0.461;0.454;0.403;;;;;0.615;0.592;0.605;0.688;;;;;;;;
55;13655;576599.063334679;0.8333333333333334;1089;8;0.471;0.505;0.527;0.973;;;;;0.813;0.785;0.766;0.203;;;;;;;;
56;13654;496430.0356822418;0.8333333333333334;1326;10;0.435;0.59;0.358;0.486;;;;;0.745;0.532;0.827;0.682;;;;;;;;
57;13593;249178.9869991226;0.8333333333333334;657;10;0.799;0.916;0.799;0.978;;;;;0.698;0.602;0.698;0.547;;;;;;;;
58;13585;171105.88402882448;0.8333333333333334;881;13;0.963;11.146;0.973;1.424;;;;;0.668;-43.469;0.661;0.275;;;;;;;;
59;13584;179517.16052236455;0.8333333333333334;884;12;0.966;1.682;0.923;0.974;;;;;0.647;-0.071;0.678;0.641;;;;;;;;
