;Unnamed: 0;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
20;20;41864;419571.8097772568;0.8333333333333334;296;15;0.1432197375512428;0.0788996138996139;0.0962892787750419;0.0779729729729729;0.327;0.327;0.273;0.481;0.375;0.486;0.357;0.481;0.92;0.921;0.94;0.815;0.894;0.822;0.898;0.815;7.6444;50.2689
21;21;41865;598357.646958985;0.8333333333333334;368;7;0.1256746124127427;0.0803078880407124;0.1099961375926688;0.0801358695652174;0.486;0.623;0.431;0.454;0.419;0.567;0.368;0.454;0.815;0.695;0.843;0.826;0.862;0.747;0.885;0.826;8.4505;49.324
22;22;41891;636723.4951453801;0.8333333333333334;289;5;0.1808148449670046;0.0858949044585987;0.1658785686903409;0.086159169550173;0.625;0.617;0.445;0.378;0.679;0.714;0.394;0.378;0.586;0.596;0.777;0.839;0.51;0.458;0.825;0.839;8.3056;49.0423
23;23;41892;574142.9765573984;0.8333333333333334;514;9;0.1155064375776973;0.0975729537366548;0.1033103200851747;0.0998443579766537;0.293;0.337;0.258;0.344;0.265;0.386;0.282;0.344;0.933;0.911;0.944;0.9;0.945;0.882;0.932;0.9;8.4547;49.4824
24;24;41893;555161.3104702845;0.8333333333333334;642;11;0.1002146807692097;0.087631884057971;0.0893046379011089;0.0887071651090342;0.289;0.266;0.239;0.347;0.279;0.341;0.278;0.348;0.937;0.946;0.953;0.9;0.94;0.911;0.936;0.9;8.3784;49.6366
25;25;41895;518728.8377065484;0.8333333333333334;644;11;0.0822788696122854;0.0776130867709815;0.0749644492861641;0.0800621118012422;0.264;0.314;0.258;0.326;0.332;0.472;0.288;0.327;0.947;0.925;0.945;0.911;0.915;0.829;0.931;0.911;8.3563;49.8648
26;26;41897;478239.2477053198;0.8333333333333334;476;12;0.0859191486525622;0.0703636363636363;0.068055496639561;0.0745798319327731;0.364;0.359;0.396;0.308;0.437;0.636;0.475;0.308;0.783;0.788;0.697;0.817;0.683;0.331;0.594;0.817;8.0022;49.9892
27;27;41899;448733.0573867012;0.8333333333333334;328;12;0.1006695364524495;0.0592817204301075;0.0881300833708178;0.0654268292682926;0.349;0.356;0.279;0.679;0.415;0.564;0.363;0.68;0.905;0.901;0.934;0.611;0.865;0.751;0.889;0.611;7.7233;50.1131
28;28;41900;439615.0889590909;0.8333333333333334;314;12;0.1332944280355472;0.0809333333333333;0.1107917776793253;0.0714331210191082;0.327;0.322;0.457;0.59;0.409;0.549;0.764;0.59;0.923;0.926;0.83;0.716;0.879;0.782;0.547;0.715;7.6803;50.1702
29;29;41903;361011.36655822257;0.8333333333333334;519;15;0.1656079672314901;0.0981337126600284;0.1309964442318807;0.0999421965317919;0.42;0.41;0.514;0.541;0.555;0.816;0.646;0.542;0.896;0.901;0.844;0.828;0.819;0.608;0.754;0.827;7.2126;50.6159
30;30;41904;344723.1882694637;0.8333333333333334;565;15;0.1574940515295731;0.0976341789052069;0.1231858203866081;0.0991327433628318;0.406;0.496;0.462;0.657;0.535;0.81;0.567;0.658;0.903;0.855;0.874;0.745;0.831;0.613;0.811;0.745;7.1106;50.7364
31;31;41905;185542.2744992548;0.8333333333333334;823;12;0.099832860176033;0.0604006734006734;0.0921072422255203;0.0587363304981774;0.411;0.4;0.402;0.452;0.418;0.627;0.416;0.452;0.939;0.943;0.942;0.927;0.937;0.859;0.938;0.927;6.6041;51.6472
32;32;41931;255202.3656464955;0.8333333333333334;646;10;0.1159164667765368;0.0849491279069767;0.1116992821012181;0.0761919504643963;0.434;0.475;0.402;0.454;0.446;0.694;0.433;0.455;0.916;0.9;0.929;0.909;0.912;0.787;0.917;0.908;6.7681;51.2277
33;33;41956;620656.3421110414;0.8333333333333334;339;6;0.1424510084189735;0.0865686813186813;0.1267113229901299;0.0868436578171091;0.542;0.639;0.399;0.442;0.546;0.909;0.369;0.442;0.688;0.566;0.82;0.78;0.684;0.122;0.847;0.78;8.3714;49.1732
34;34;42212;286924.6073327868;0.8333333333333334;628;10;0.1411486993912837;0.0978148148148148;0.1356531990830758;0.0901592356687898;0.445;0.498;0.553;0.565;0.491;0.785;0.493;0.566;0.911;0.888;0.862;0.856;0.891;0.722;0.89;0.856;6.8662;51.0934
35;35;42213;310050.6355811434;0.8333333333333334;563;11;0.1580945533098229;0.105850699844479;0.1499589972153781;0.0990586145648312;0.534;0.685;0.569;0.699;0.602;0.833;0.601;0.7;0.872;0.79;0.855;0.781;0.838;0.689;0.838;0.781;6.9696;50.9495
36;36;42229;155115.09893184;0.8333333333333334;691;13;0.1180694117049758;0.0618780804150454;0.0999358492454366;0.0555861070911722;0.467;0.572;0.466;0.636;0.499;0.738;0.47;0.637;0.922;0.883;0.922;0.855;0.911;0.805;0.921;0.855;6.3222;51.7849
37;37;42230;191596.00402084127;0.8333333333333334;821;12;0.102873680254225;0.0611102362204724;0.0953908599298748;0.0595006090133983;0.382;0.431;0.413;0.473;0.409;0.505;0.44;0.473;0.941;0.925;0.931;0.909;0.932;0.896;0.921;0.909;6.5974;51.5972
