;id_vs;vs_chain;dt;gauge_up;dist_up;gauge_down;dist_down;lag;vs_wl;up_wl;uncertainty;g_anom;vs_anom;bias
29;23406;304032.90681462316;2023-11-12 20:12:42;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.99602005591164;53.879;2.17;0.037;-0.1378947368421053;0.06703658536584811;0.2049313222079534
30;23406;304032.90681462316;2023-11-27 19:42:42;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.462952052184198;54.335;2.8;0.05;0.4921052631578946;0.5230365853658512;0.03093132220795658
31;23406;304032.90681462316;2023-12-02 09:07:02;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.9298840484567545;54.215;2.66;0.17;0.3521052631578949;0.40303658536585374;0.05093132220795882
32;23406;304032.90681462316;2023-12-09 20:12:42;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;54.175;2.51;0.04;0.20210526315789457;0.3630365853658475;0.16093132220795292
33;23406;304032.90681462316;2023-12-18 16:27:45;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;54.985;3.52;0.05;1.2121052631578948;1.1730365853658498;0.03906867779204504
34;23406;304032.90681462316;2024-01-03 04:15:05;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;55.595;4.0;0.1;1.6921052631578948;1.7830365853658492;0.09093132220795441
35;23406;304032.90681462316;2024-01-05 20:12:45;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;55.482;4.06;0.104;1.7521052631578944;1.6700365853658496;0.08206867779204474
36;23406;304032.90681462316;2024-01-24 01:00:10;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;54.935;3.39;0.16;1.082105263157895;1.1230365853658526;0.0409313222079577
37;23406;304032.90681462316;2024-01-29 09:57:58;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;55.035;3.6;0.05;1.2921052631578949;1.223036585365847;0.06906867779204795
38;23406;304032.90681462316;2024-02-01 20:12:47;151150150.0;330395.1882159967;152150130.0;289404.1355208066;5.330680037274426;54.973;3.48;0.025;1.1721052631578948;1.1610365853658493;0.011068677792045456
39;23406;304032.90681462316;2024-02-02 23:22:17;151150150.0;330395.1882159967;152150130.0;289404.1355208066;7.462952052184198;54.895;3.41;0.07;1.102105263157895;1.0830365853658535;0.019068677792041466
