;id;DS.chainage;velocity;len(DS.densified_wl_by_regr_itpd);len(DS.upstream_adjacent_vs);mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
1276;42214;173586,2169616771;0,84;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1105;0,2288;0,0338;0,0634;0,0466;0,9853;0,9369;0,9985;0,9949;0,9971
1277;42214;173586,2169616771;0,88;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1079;0,2288;0,0332;0,0636;0,0466;0,986;0,9369;0,9986;0,9949;0,9971
1278;42214;173586,2169616771;0,92;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1223;0,2288;0,0332;0,0639;0,0466;0,982;0,9369;0,9986;0,9949;0,9971
1279;42214;173586,2169616771;0,96;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1227;0,2288;0,0311;0,0637;0,0466;0,9819;0,9369;0,9988;0,995;0,9971
1280;42214;173586,2169616771;1,0;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1258;0,2288;0,0312;0,0637;0,0466;0,9809;0,9369;0,9987;0,995;0,9971
1281;42214;173586,2169616771;1,04;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1259;0,2288;0,0312;0,0633;0,0466;0,9809;0,9369;0,9987;0,995;0,9971
1282;42214;173586,2169616771;1,08;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1272;0,2288;0,031;0,0652;0,0466;0,9805;0,9369;0,9988;0,9948;0,9971
1283;42214;173586,2169616771;1,12;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1282;0,2288;0,0311;0,0682;0,0466;0,9802;0,9369;0,9987;0,9944;0,9971
1284;42214;173586,2169616771;1,16;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1287;0,2288;0,0311;0,0684;0,0466;0,98;0,9369;0,9987;0,9944;0,9971
1285;42214;173586,2169616771;1,2;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1292;0,2288;0,0311;0,0687;0,0466;0,9799;0,9369;0,9987;0,9944;0,9971
1286;42214;173586,2169616771;1,24;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1296;0,2288;0,031;0,0696;0,0466;0,9798;0,9369;0,9988;0,9941;0,9971
1287;42214;173586,2169616771;1,28;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1296;0,2288;0,031;0,0696;0,0466;0,9798;0,9369;0,9988;0,9941;0,9971
1288;42214;173586,2169616771;1,32;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1293;0,2288;0,031;0,0699;0,0466;0,9799;0,9369;0,9988;0,9941;0,9971
1289;42214;173586,2169616771;1,36;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1291;0,2288;0,0311;0,0686;0,0466;0,9799;0,9369;0,9988;0,9944;0,9971
1290;42214;173586,2169616771;1,4;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1291;0,2288;0,0311;0,0684;0,0466;0,9799;0,9369;0,9987;0,9945;0,9971
1291;42214;173586,2169616771;1,44;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1286;0,2288;0,0298;0,0688;0,0466;0,9801;0,9369;0,9989;0,9945;0,9971
1292;42214;173586,2169616771;1,48;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1265;0,2288;0,03;0,07;0,0466;0,9807;0,9369;0,9988;0,9943;0,9971
1293;42214;173586,2169616771;1,52;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1265;0,2288;0,03;0,07;0,0466;0,9807;0,9369;0,9988;0,9943;0,9971
1294;42214;173586,2169616771;1,56;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0303;0,0634;0,0466;0,9815;0,9369;0,9988;0,9952;0,9971
1295;42214;173586,2169616771;1,6;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0304;0,0638;0,0466;0,9815;0,9369;0,9988;0,9949;0,9971
1296;42214;173586,2169616771;1,64;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0303;0,064;0,0466;0,9815;0,9369;0,9988;0,9949;0,9971
1297;42214;173586,2169616771;1,68;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0303;0,064;0,0466;0,9815;0,9369;0,9988;0,9949;0,9971
1298;42214;173586,2169616771;1,72;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0303;0,064;0,0466;0,9815;0,9369;0,9988;0,9949;0,9971
1299;42214;173586,2169616771;1,76;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0303;0,064;0,0466;0,9815;0,9369;0,9988;0,9949;0,9971
1300;42214;173586,2169616771;1,8;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1239;0,2288;0,0303;0,064;0,0466;0,9815;0,9369;0,9988;0,9949;0,9971
1301;42214;173586,2169616771;1,84;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1234;0,2288;0,0304;0,064;0,0466;0,9817;0,9369;0,9988;0,9949;0,9971
1302;42214;173586,2169616771;1,88;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1234;0,2288;0,0304;0,064;0,0466;0,9817;0,9369;0,9988;0,9949;0,9971
1303;42214;173586,2169616771;1,92;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1234;0,2288;0,0304;0,064;0,0466;0,9817;0,9369;0,9988;0,9949;0,9971
1304;42214;173586,2169616771;1,96;518;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1234;0,2288;0,0304;0,0642;0,0466;0,9817;0,9369;0,9988;0,9949;0,9971
1305;41866;234513,3393847275;0,2;534;20;0,08625871799042346;0,1147506666666667;0,16730066666666665;0,1394;0,1676;0,0502;0,1207;0,0622;0,9735;0,9617;0,9966;0,9806;0,9945
1306;41866;234513,3393847275;0,24;533;20;0,08625871799042346;0,1147506666666667;0,16730066666666665;0,1436;0,1676;0,0459;0,1154;0,0622;0,9719;0,9617;0,9971;0,9818;0,9945
1307;41866;234513,3393847275;0,28;533;20;0,08625871799042348;0,11475066666666667;0,16730066666666668;0,1395;0,1676;0,039;0,1143;0,0622;0,9734;0,9617;0,9979;0,982;0,9945
1308;41866;234513,3393847275;0,32;532;20;0,08625871799042348;0,11475066666666667;0,16730066666666668;0,1288;0,1676;0,0379;0,1037;0,0622;0,9774;0,9617;0,998;0,9853;0,9945
1309;41866;234513,3393847275;0,36;533;20;0,08625871799042348;0,11475066666666667;0,16730066666666665;0,1331;0,1676;0,0371;0,1065;0,0622;0,9758;0,9617;0,9981;0,9846;0,9945
1310;41866;234513,3393847275;0,4;533;20;0,08625871799042348;0,11475066666666667;0,16730066666666665;0,1368;0,1669;0,0494;0,1045;0,0618;0,9745;0,962;0,9967;0,985;0,9946
1311;41866;234513,3393847275;0,44;533;20;0,08625871799042348;0,11475066666666667;0,16730066666666665;0,1437;0,1669;0,0492;0,1059;0,0618;0,9718;0,962;0,9967;0,9846;0,9946
1312;41866;234513,3393847275;0,48;532;20;0,08625871799042348;0,11475066666666667;0,16730066666666668;0,1452;0,1669;0,0477;0,108;0,0618;0,9712;0,962;0,9969;0,9839;0,9946
1313;41866;234513,3393847275;0,52;532;20;0,08575060768956512;0,11435647530040054;0,1670588785046729;0,137;0,1669;0,0473;0,0944;0,0618;0,9744;0,962;0,997;0,9879;0,9946
1314;41866;234513,3393847275;0,56;532;20;0,08575060768956512;0,11435647530040054;0,16705887850467288;0,1421;0,1669;0,0471;0,0942;0,0618;0,9725;0,962;0,997;0,9881;0,9946
1315;41866;234513,3393847275;0,6;532;20;0,08575060768956512;0,11435647530040054;0,16705887850467288;0,1423;0,1669;0,0476;0,0961;0,0618;0,9724;0,962;0,9969;0,9876;0,9946
1316;41866;234513,3393847275;0,64;532;20;0,08561144252090656;0,11428208556149733;0,16709385026737966;0,1479;0,1669;0,0471;0,0951;0,0618;0,9701;0,962;0,997;0,9878;0,9946
1317;41866;234513,3393847275;0,68;532;20;0,08561144252090656;0,11428208556149733;0,16709385026737966;0,1491;0,1669;0,0341;0,0964;0,0618;0,9697;0,962;0,9984;0,9876;0,9946
1318;41866;234513,3393847275;0,72;532;20;0,08561144252090656;0,11428208556149733;0,16709385026737966;0,15;0,1669;0,034;0,096;0,0618;0,9693;0,962;0,9984;0,9876;0,9946
1319;41866;234513,3393847275;0,76;532;20;0,08510160891938551;0,11403614457831325;0,16675314591700133;0,1514;0,1669;0,0345;0,0931;0,0618;0,9687;0,962;0,9984;0,9879;0,9946
1320;41866;234513,3393847275;0,8;532;20;0,08510160891938551;0,11403614457831325;0,16675314591700133;0,1501;0,1669;0,0336;0,0931;0,0618;0,9693;0,962;0,9985;0,988;0,9946
1321;41866;234513,3393847275;0,84;532;20;0,08510160891938551;0,11403614457831325;0,16675314591700133;0,1513;0,1669;0,0333;0,0935;0,0618;0,9687;0,962;0,9985;0,988;0,9946
